Font,Mission_statement
Helvetica,We believe that we are on the face of the earth to make great products and that s not changing  We are constantly focusing on innovating  We believe in the simple not the complex  We believe that we need to own and control the primary technologies behind the products that we make  and participate only in markets where we can make a significant contribution  We believe in saying no to thousands of projects  so that we can really focus on the few that are truly important and meaningful to us  We believe in deep collaboration and cross pollination of our groups  which allow us to innovate in a way that others cannot  And frankly  we don t settle for anything less than excellence in every group in the company  and we have the self  honesty to admit when we re wrong and the courage to change  And I think regardless of who is in what job those values are so embedded in this company that Apple will do extremely well  sector4
Helvetica,to be the world s most successful and important information technology company  Successful in helping out customers apply technology to solve their problems  Successful in introducing this extraordinary technology to new customers  Important  because we will continue to be the basic resource of much of what is invested in this industry  At IBM  we strive to lead in the invention  development and manufacture of the industry s most advanced information technologies  including computer systems  software  storage systems and microelectronics  We translate these advanced technologies into value for our customers through our professional solutions  services and consulting businesses worldwide  sector4
Helvetica,We re building Instagram to allow you to experience moments in your friends  lives through pictures as they happen  We created Instagram to solve three simple problems  Mobile photos always come out looking mediocre  Our awesome looking filters transform your photos into professional looking snapshots  Sharing on multiple platforms is a pain   we help you take a picture once  then share it  instantly  on multiple services  Most uploading experiences are clumsy and take forever   we ve optimized the experience to be fast and efficient  sector3
Helvetica,to give people the power to build community to bring the world closer together   there is another pengfei found out To give people the power to share and make the world more open and connected  sector3
Helvetica,Transit Choices is a coalition of organizations and individuals passionate about establishing a high functioning  reliable  and integrated transportation system in Baltimore  To raise interest and instill action in the cause  we designed an eye catching brochure that articulates the vision and speaks to people of all voices and views on the subject  Transit Choices sent copies to the Mayor s office in hopes of kick starting the much needed improvement process  sector5
Helvetica,OPEN  TRANSPARENT  ENTREPRENEURIAL  At Eagle Ottawa  our success is driven through a culture of entrepreneurship  speed  teamwork and precision  We operate in a unique world of tradition and innovation that balances the patience of old world craftsmanship with speed of groundbreaking science  technology and manufacturing excellence  We trust and empower our employees to excel and give them the autonomy to satisfy the needs of our customers  We are strengthened by the diversity of our team and collaborate from all regions of the world to bring the deepest market intelligence  most inspired designs and the highest quality leather to our customers  We improve our performance through an open and transparent working environment that encourages creativity and demands customer focus  Our leaders lead by example and set a high standard of ethics  integrity and determination  As a global team  Eagle Ottawa is in constant pursuit of excellence  We are never satisfied with our success and feel an obligation  as the world s largest automotive leather supplier  to innovate new technologies that continuously drive the industry to reach higher levels of quality  design and product performance  sector2
Helvetica,To Serve Patients  and technology and innnovation based sector5
Helvetica,The mission of EPA is to protect human health and the environment  sector5
Helvetica,Mission UC San Francisco is the leading university dedicated to advancing health worldwide through preeminent biomedical research  graduate level education in the life sciences and health professions  and excellence in patient care  Within our overarching advancing health worldwide mission  UCSF is devoted at every level to serving the public  UCSF s commitment to public service dates to the founding of its predecessor institution  Toland Medical College  in 1864  Born out of the overcrowded and unsanitary conditions of Gold Rush era San Francisco  Toland Medical College trained doctors to elevate the standards of public health in the burgeoning city  By 1873  the University of California acquired the college and forged a partnership with San Francisco General Hospital that continues to this day and serves as a model for delivering leading edge care at a public safety net hospital  Today UCSF s public mission goes beyond San Francisco and delivers a substantial impact on a national and global level by innovating health care approaches for the world s most vulnerable populations  training the next generation of doctors  nurses  dentists  pharmacists and scientists  supporting elementary and high school education  and translating scientific discoveries into better health for everyone  Values In his 2016 State of the University Address  Chancellor Sam Hawgood announced that UCSF is embracing a common set of values to set a clear direction for all members of the UCSF community as we work together to fulfill our mission  This set of overarching values aligns with UCSF s Principles of Community and Code of Ethics  PRIDE values are  Professionalism  To be competent  accountable  reliable and responsible  interacting positively and collaboratively with all colleagues  students  patients  visitors and business partners  Respect  To treat all others as you wish to be treated  being courteous  kind and acting with utmost consideration for others  Integrity  To be honest  trustworthy and ethical  always doing the right thing  without compromising the truth  and being fair and sincere  Diversity  To appreciate and celebrate differences in others  creating an environment of equity and inclusion with opportunities for everyone to reach their potential  Excellence  To be dedicated  motivated  innovative and confident  giving your best every day  encouraging and supporting others to excel in everything they do  sector5
Helvetica,teaching  research  innovation and service  sector5
